Warning: truncated output (original token count: 31777)
Total output lines: 290

overlay_path,version,file_path,canonical_destination,canonical_exists,overlay_sha256,canonical_sha256,relationship,canonical_tracked,canonical_git_history_appears,preservation_priority,notes
market_intelligence_v2_10_overlay/docs/historical_news_ml_training_plan.md,market_intelligence_v2_10_overlay,docs/historical_news_ml_training_plan.md,docs/historical_news_ml_training_plan.md,yes,123ce015dccba3b4179bb4416ddd163a606b93f5187a37df6ec230b9fc8c57c4,123ce015dccba3b4179bb4416ddd163a606b93f5187a37df6ec230b9fc8c57c4,IDENTICAL,no,unknown,LOW,Overlay source is ignored by Git; preserve before any archival decision.
market_intelligence_v2_10_overlay/docs/market_intelligence_experiment_summary_2026_06_23.md,market_intelligence_v2_10_overlay,docs/market_intelligence_experiment_summary_2026_06_23.md,docs/market_intelligence_experiment_summary_2026_06_23.md,yes,6821e876bc33bf89c3ee624bf6e89de067eb096642914bbbf02d8908ab4d86f3,6821e876bc33bf89c3ee624bf6e89de067eb096642914bbbf02d8908ab4d86f3,IDENTICAL,no,unknown,LOW,Overlay source is ignored by Git; preserve before any archival decision.
market_intelligence_v2_2_overlay/docs/market_intelligence_v2_2.md,market_intelligence_v2_2_overlay,docs/market_intelligence_v2_2.md,docs/market_intelligence_v2_2.md,yes,c35833d22ed40e967d650c5f68bc8e4f24a78c05015434e35b767f781eaa2a85,c35833d22ed40e967d650c5f68bc8e4f24a78c05015434e35b767f781eaa2a85,IDENTICAL,no,unknown,LOW,Overlay source is ignored by Git; preserve before any archival decision.
market_intelligence_v2_2_overlay/scripts/build_allocator_intelligence_signals_v2.py,market_intelligence_v2_2_overlay,scripts/build_allocator_intelligence_signals_v2.py,scripts/build_allocator_intelligence_signals_v2.py,yes,f796510ee1313f04e62708622e84b6428a752b3c81f4a8a146aab147f030f78f,f796510ee1313f04e62708622e84b6428a752b3c81f4a8a146aab147f030f78f,IDENTICAL,no,unknown,LOW,Overlay source is ignored by Git; preserve before any archival decision.
market_intelligence_v2_2_overlay/scripts/diagnose_allocator_intelligence.py,market_intelligence_v2_2_overlay,scripts/diagnose_allocator_intelligence.py,scripts/diagnose_allocator_intelligence.py,yes,4261f40d8eabb435433a0817d2c10f2dd063c28f17a19364677e19c03d6b3f10,2320410bf52be4bafbbcdf505e37f2aa96990a6ea59d080925cf370f6c37941a,DIFFERENT,no,unknown,HIGH,Overlay source is ignored by Git; preserve before any archival decision.
market_intelligence_v2_2_overlay/src/backtester/intelligence/allocator_adjustment.py,market_intelligence_v2_2_overlay,src/backtester/intelligence/allocator_adjustment.py,src/backtester/intelligence/allocator_adjustment.py,yes,7116d088ab49071cc47b563e050f000b9c6b9f5418b1b0346316770bb4b83b24,7116d088ab49071cc47b563e050f000b9c6b9f5418b1b0346316770bb4b83b24,IDENTICAL,no,unknown,LOW,Overlay source is ignored by Git; preserve before any archival decision.
market_intelligence_v2_2_overlay/src/backtester/intelligence/allocator_diagnostics.py,market_intelligence_v2_2_overlay,src/backtester/intelligence/allocator_diagnostics.py,src/backtester/intelligence/allocator_diagnostics.py,yes,b79bb2bc9f3149d706b298261f2162a1c1a3812acd5c54044176c56bb8dd0287,b8de85b205c6ed96a176fd0614e26d913d48c4fda6080e3f305b7765d3ead40e,DIFFERENT,no,unknown,HIGH,Overlay source is ignored by Git; preserve before any archival decision.
market_intelligence_v2_3_overlay/docs/market_intelligence_v2_3.md,market_intelligence_v2_3_overlay,docs/market_intelligence_v2_3.md,docs/market_intelligence_v2_3.md,yes,3071ebef34d7390c2177275d4848d2713dfc848b78b0f9c7fb9737762d002beb,3071ebef34d7390c2177275d4848d2713dfc848b78b0f9c7fb9737762d002beb,IDENTICAL,no,unknown,LOW,Overlay source is ignored by Git; preserve before any archival decision.
market_intelligence_v2_3_overlay/scripts/build_allocator_intelligence_signals_v2.py,market_intelligence_v2_3_overlay,scripts/build_allocator_intelligence_signals_v2.py,scripts/build_allocator_intelligence_signals_v2.py,yes,f796510ee1313f04e62708622e84b6428a752b3c81f4a8a146aab147f030f78f,f796510ee1313f04e62708622e84b6428a752b3c81f4a8a146aab147f030f78f,IDENTICAL,no,unknown,LOW,Overlay source is ignored by Git; preserve before any archival decision.
market_intelligence_v2_3_overlay/scripts/diagnose_allocator_intelligence.py,market_intelligence_v2_3_overlay,scripts/diagnose_allocator_intelligence.py,scripts/diagnose_allocator_intelligence.py,yes,4261f40d8eabb435433a0817d2c10f2dd063c28f17a19364677e19c03d6b3f10,2320410bf52be4bafbbcdf505e37f2aa96990a6ea59d080925cf370f6c37941a,DIFFERENT,no,unknown,HIGH,Overlay source is ignored by Git; preserve before any archival decision.
market_intelligence_v2_3_overlay/src/backtester/intelligence/allocator_adjustment.py,market_intelligence_v2_3_overlay,src/backtester/intelligence/allocator_adjustment.py,src/backtester/intelligence/allocator_adjustment.py,yes,7116d088ab49071cc47b563e050f000b9c6b9f5418b1b0346316770bb4b83b24,7116d088ab49071cc47b563e050f000b9c6b9f5418b1b0346316770bb4b83b24,IDENTICAL,no,unknown,LOW,Overlay source is ignored by Git; preserve before any archival decision.
